Rk,Player,Tm,FGP,Opp,W-or-L,MP,FG,FGA,FG_PERCENT,threeP,3PA,THREE_PERCENT,FT,FTA,FT_PERCENT,AST,TOV,PF,PTS,Usage,GmSc,FPM
201,Thanasis Antetokounmpo,MIL,,DEN,W,4:54,0,1,.000,0,0,,0,0,,1,1,2,0,-1,-0.8,antetth01
202,Jeenathan Williams,HOU,,NYK,W,8:02,0,1,.000,0,0,,0,0,,0,0,1,0,+15,-0.8,willije02
203,Dario Šarić,GSW,@,UTA,W,11:36,0,3,.000,0,2,.000,0,0,,1,0,1,0,-4,-0.9,saricda01
204,Ochai Agbaji,TOR,,SAS,L,17:31,1,8,.125,0,3,.000,0,0,,1,1,0,2,0,-1.1,agbajoc01
205,Dāvis Bertāns,CHO,,IND,W,11:34,1,6,.167,1,6,.167,0,0,,0,0,1,3,-8,-1.2,bertada01
206,Corey Kispert,WAS,@,DAL,L,24:27,2,11,.182,1,7,.143,0,0,,1,1,2,5,-10,-1.4,kispeco01
207,Brice Sensabaugh,UTA,,GSW,L,2:16,0,1,.000,0,0,,0,0,,0,1,0,0,-2,-1.4,sensabr01
208,Jamal Murray,DEN,@,MIL,L,17:33,1,5,.200,1,3,.333,0,0,,0,2,0,3,-18,-1.5,murraja01
209,Kobe Brown,LAC,,MIN,L,4:56,0,1,.000,0,0,,0,0,,0,2,0,0,+3,-1.7,brownko01
210,Terquavion Smith,PHI,@,CLE,W,3:05,0,2,.000,0,2,.000,0,0,,0,0,1,0,+2,-1.8,smithte01
211,Julian Phillips,CHI,@,ATL,W,6:36,0,1,.000,0,0,,0,0,,0,0,3,0,+1,-1.9,phillju01
212,Georges Niang,CLE,,PHI,L,18:07,0,4,.000,0,2,.000,0,0,,0,1,2,0,-7,-2.0,niangge01
213,Jeff Green,HOU,,NYK,W,15:09,0,3,.000,0,1,.000,0,0,,0,0,1,0,+11,-2.2,greenje02
214,Tim Hardaway,DAL,,WAS,W,21:58,2,13,.154,1,7,.143,0,0,,1,1,3,5,-4,-2.2,hardati02
215,Bennedict Mathurin,IND,@,CHO,L,14:39,0,4,.000,0,1,.000,0,0,,1,1,0,0,-7,-2.5,mathube01
216,Doug McDermott,IND,@,CHO,L,7:39,0,4,.000,0,4,.000,0,0,,1,0,1,0,-12,-2.5,mcderdo01
217,Taylor Hendricks,UTA,,GSW,L,19:17,0,2,.000,0,2,.000,0,0,,0,2,4,0,-2,-3.1,hendrita01
218,Moses Moody,GSW,@,UTA,W,8:40,0,8,.000,0,3,.000,0,0,,0,0,0,0,+13,-3.6,moodymo01
